name,provider,description,rating,duration
Trigonometría y geometría analítica,Universidad Nacional Autónoma de México,Skills you'll gain: Business Psychology  Entrepreneurship  Human Learning,4.7,Mixed · Course · 3-6 Months
Information Theory,The Chinese University of Hong Kong,Skills you'll gain: Mathematics  Algebra  Entrepreneurship  Leadership and Management  Mathematical Theory & Analysis  Problem Solving  Research and Design,4.8,Beginner · Course · 1-4 Weeks
Educación Matemática para profesores de infantil. Curso 1,Universidad de los Andes,Skills you'll gain: Calculus  Mathematics  Differential Equations  Mathematical Theory & Analysis,4.7,Intermediate · Course · 1-3 Months
Fibonacci Numbers and the Golden Ratio,The Hong Kong University of Science and Technology,,,
Calculus through Data & Modeling: Applying Differentiation,Johns Hopkins University,,,
Vector Calculus for Engineers,The Hong Kong University of Science and Technology,Skills you'll gain: Calculus  Linear Algebra  Mathematics  Differential Equations,4.8,Beginner · Course · 1-3 Months
Calculus through Data & Modeling: Limits & Derivatives,Johns Hopkins University,Skills you'll gain: Calculus  Mathematics,4.8,Beginner · Course · 1-3 Months
Calculus through Data & Modeling: Differentiation Rules,Johns Hopkins University,Skills you'll gain: Calculus  Mathematics  Differential Equations,4.8,Intermediate · Course · 1-3 Months
Game Theory with Python,Coursera Project Network,Skills you'll gain: Applied Mathematics  Computer Programming  Game Theory  Mathematics  Python Programming  Statistical Programming  Entrepreneurship  Leadership and Management  Marketing  Sales,4.3,Intermediate · Guided Project · Less Than 2 Hours
Calculus through Data & Modelling: Vector Calculus,Johns Hopkins University,Skills you'll gain: Calculus  Mathematics  Leadership and Management,4.9,Intermediate · Course · 1-4 Weeks
Mathematics for Engineers: The Capstone Course,The Hong Kong University of Science and Technology,Skills you'll gain: Data Analysis  Matlab,4.9,Intermediate · Course · 1-4 Weeks
Play with Graphs using Wolfram Mathematica,Coursera Project Network,Skills you'll gain: Mathematics,4.3,Advanced · Guided Project · Less Than 2 Hours
Enseñanza de las matemáticas de primaria,Universidad de los Andes,Skills you'll gain: Mathematics  Mathematical Theory & Analysis  Entrepreneurship  Leadership and Management  Business Psychology  Geometry  Research and Design  Applied Mathematics  Business Analysis  Critical Thinking  Decision Making  Experiment  General Statistics  Human Learning  Human Resources  People Development  Probability & Statistics  Problem Solving  Strategy and Operations,4.9,Beginner · Course · 1-3 Months
Calculus: Single Variable Part 1 - Functions,University of Pennsylvania,Skills you'll gain: Calculus  Mathematics  Mathematical Theory & Analysis  Algebra,4.7,Mixed · Course · 1-4 Weeks
Pre-Calculus,Universitat Autònoma de Barcelona,Skills you'll gain: Mathematics  Algebra  Calculus  Geometry,4.7,Beginner · Course · 1-3 Months
Funciones algebraicas y trascendentes,Universidad Nacional Autónoma de México,Skills you'll gain: Mathematics  Algebra  Angular  Data Visualization  Geometry  Visualization (Computer Graphics)  Web Development,4.5,Beginner · Course · 1-3 Months
Introducción al análisis de Costos para la Dirección de Empresas,Universidad Austral,Skills you'll gain: Accounting  Cost Accounting,4.7,Beginner · Course · 1-4 Weeks
Matrix Methods,University of Minnesota,Skills you'll gain: Algebra  Linear Algebra  Mathematics  Mathematical Theory & Analysis  Entrepreneurship,4.1,Intermediate · Course · 1-3 Months
Contenido de las matemáticas de primaria,Universidad de los Andes,Skills you'll gain: Mathematics  Estimation  Geometry  Mathematical Theory & Analysis  Probability & Statistics,4.9,Beginner · Course · 1-3 Months
Calculus: Single Variable Part 2 - Differentiation,University of Pennsylvania,Skills you'll gain: Calculus  Mathematics  Differential Equations  Algorithms  Mathematical Theory & Analysis  Theoretical Computer Science,4.8,Mixed · Course · 1-4 Weeks
1.- El Cálculo - Modelo Lineal,Tecnológico de Monterrey,Skills you'll gain: Algebra  Mathematics  Calculus,4.8,Mixed · Course · 1-4 Weeks
Calculus: Single Variable Part 3 - Integration,University of Pennsylvania,Skills you'll gain: Calculus  Mathematics  Continuous Integration  DevOps  Differential Equations  Algebra  Applied Mathematics  Linear Algebra  Project Management  Strategy and Operations,4.8,Mixed · Course · 1-4 Weeks
Precalculus: Mathematical Modeling,Johns Hopkins University,Skills you'll gain: Data Management  Mathematics  Probability & Statistics  Data Model  Data Analysis  Regression  Algebra  Applied Mathematics  Data Analysis Software,4.6,Beginner · Course · 1-4 Weeks
Introduction à la théorie de Galois,École normale supérieure,Skills you'll gain: Algebra  Mathematics,4.8,Mixed · Course · 1-3 Months
Analytic Combinatorics,Princeton University,Skills you'll gain: Combinatorics  Mathematics,4.6,Intermediate · Course · 1-3 Months
Calculus through Data & Modelling: Series and Integration,Johns Hopkins University,Skills you'll gain: Calculus  Mathematics  Differential Equations,5.0,Intermediate · Course · 1-3 Months
頑想學概率：機率二 (Probability (2)),National Taiwan University,Skills you'll gain: Probability & Statistics  General Statistics,4.8,Mixed · Course · 1-3 Months
Analyse numérique pour ingénieurs,École Polytechnique Fédérale de Lausanne,Skills you'll gain: Mathematics  Linear Algebra  Algebra  Mathematical Theory & Analysis  Matlab,4.5,Intermediate · Course · 1-3 Months
Precalculus: Periodic Functions,Johns Hopkins University,Skills you'll gain: Mathematics  Algebra  Calculus  Geometry  Linear Algebra  Mathematical Theory & Analysis,4.7,Beginner · Course · 1-3 Months
Games without Chance: Combinatorial Game Theory,Georgia Institute of Technology,Skills you'll gain: Mathematics,4.4,Mixed · Course · 1-3 Months
Calculus: Single Variable Part 4 - Applications,University of Pennsylvania,Skills you'll gain: Calculus  Mathematics  Probability & Statistics  Econometrics  Probability Distribution,4.9,Mixed · Course · 1-3 Months
Geometría Analítica Preuniversitaria,Universidad Autónoma Metropolitana,Skills you'll gain: Mathematics  Geometry  Algebra  Accounting  Business Analysis  Data Management,4.1,Intermediate · Course · 1-3 Months
Game-Theoretic Solution Concept with Spreadsheets,Coursera Project Network,Skills you'll gain: Game Theory  Mathematics,4.7,Intermediate · Guided Project · Less Than 2 Hours
Initiation à la théorie des distributions,École Polytechnique,Skills you'll gain: Mathematics,4.8,Mixed · Course · 1-3 Months
Calculus through Data & Modelling: Techniques of Integration,Johns Hopkins University,Skills you'll gain: Calculus  Mathematics  Linear Algebra,4.5,Intermediate · Course · 1-4 Weeks
Calculus through Data & Modelling: Integration Applications,Johns Hopkins University,Skills you'll gain: Calculus  Mathematics  Linear Algebra,5.0,Intermediate · Course · 1-4 Weeks
Differential Equations Part II Series Solutions,Korea Advanced Institute of Science and Technology(KAIST),Skills you'll gain: Mathematics,4.0,Mixed · Course · 1-3 Months
Doğrusal Cebir I: Uzaylar ve İşlemciler / Linear Algebra I: Spaces and Operators,Koç University,Skills you'll gain: Algebra  Geometry  Mathematics,4.4,Mixed · Course · 1-3 Months
Invitation to Mathematics     הזמנה למתמטיקה,Hebrew University of Jerusalem,Skills you'll gain: Mathematics  Algebra  Calculus  Computer Programming  Computer Vision  Machine Learning  Python Programming  Statistical Programming,4.8,Mixed · Course · 1-4 Weeks
2.- El Cálculo - Modelo Cuadrático,Tecnológico de Monterrey,Skills you'll gain: Calculus  Mathematics,4.7,Mixed · Course · 1-4 Weeks
4.- El Cálculo - Otros Modelos,Tecnológico de Monterrey,,,
Doğrusal Cebir II: Kare Matrisler  Hesaplama Yöntemleri ve Uygulamalar / Linear Algebra II: Square Matrices  Calculation Methods and Applications,Koç University,Skills you'll gain: Mathematics  Algebra,4.5,Mixed · Course · 1-3 Months
3.- El Cálculo - Modelo Cúbico,Tecnológico de Monterrey,Skills you'll gain: Calculus  Mathematics  Algebra,4.8,Mixed · Course · 1-4 Weeks
Çok değişkenli Fonksiyon I: Kavramlar / Multivariable Calculus I:  Concepts,Koç University,Skills you'll gain: Machine Learning  Theoretical Computer Science  BlockChain  Finance  Software Engineering  Algorithms  Security Engineering  Software Testing  Databases  Data Visualization  Data Management  Computer Architecture  Computer Networking  Computer Programming  Network Security  Software Architecture  Computational Logic  Computational Thinking  Cryptography  Deep Learning  Mathematics  NoSQL  SQL  Statistical Programming  Mobile Development  Data Analysis  Data Mining  Data Structures  Distributed Computing Architecture  General Statistics  Mathematical Theory & Analysis  Probability & Statistics  Operating Systems  Security Strategy  System Security  Amazon Web Services  Calculus  Cloud Computing  Communication  Data Model  Database Administration  Database Application  Database Design  Dimensionality Reduction  Feature Engineering  Geovisualization  Hardware Design  Journalism  Microarchitecture  Programming Principles  Statistical Machine Learning  Advertising  Algebra  Application Development  Artificial Neural Networks  Bayesian Network  Computer Graphics  Computer Vision  Critical Thinking  Design and Product  Docker (Software)  Econometrics  Entrepreneurship  Human Computer Interaction  Marketing  Matlab  Operations Research  Other Programming Languages  Planning  Probability Distribution  Product Design  Python Programming  Research and Design  Scala Programming  Software Framework  Spreadsheet Software  Statistical Tests  Strategy and Operations  Supply Chain Systems  Supply Chain and Logistics  System Programming  Tableau Software  User Experience  Web Development  iOS Development,4.5,Mixed · Course · 1-3 Months
Explorando os recursos educacionais da Khan Academy,Fundação Lemann,Skills you'll gain: Basic Descriptive Statistics  Bayesian Statistics  Correlation And Dependence  Data Analysis  General Statistics  Probability & Statistics,4.8,Mixed · Course · 1-3 Months
Educación Matemática para profesores de infantil. Curso 2,Universidad de los Andes,Skills you'll gain: Algorithms  Computer Programming  Problem Solving,4.6,Mixed · Course · 1-3 Months
Çok değişkenli Fonksiyon II: Uygulamalar / Multivariable Calculus II: Applications,Koç University,,,Credit EligibleDegree · 1-4 Years
Introducción a la Inteligencia Artificial,Universidad de los Andes,,,Credit EligibleDegree · 1-4 Years
Software Engineering MasterTrack® Certificate,Arizona State University,,,
Certificado en Modelos Analíticos para la Toma de Decisiones de Negocio,Pontificia Universidad Católica de Chile,,,
Master of Science in Applied Data Analytics,Queen Mary  University of London,,,
Postgraduate Diploma in Applied Statistics,Indian Statistical Institute,,,
Bachelor of Science in Computer Science,BITS Pilani,,,
Doğrusal Cebir II: Kare Matrisler  Hesaplama Yöntemleri ve Uygulamalar / Linear Algebra II: Square Matrices  Calculation Methods and Applications,Koç University,Skills you'll gain: Mathematics  Algebra,4.5,Mixed · Course · 1-3 Months
